"",id,name,ingredients,alcoholic,category,glassType,instructions,drinkThumbnail,ingredientMeasures,text
0,0,A1,"['Gin', 'Grand Marnier', 'Lemon Juice', 'Grenadine']",Alcoholic,Cocktail,Cocktail glass,"Pour all ingredients into a cocktail shaker, mix and serve over ice into a chilled glass.",https://www.thecocktaildb.com/images/media/drink/2x8thr1504816928.jpg,"['1 3/4 shot ', '1 Shot ', '1/4 Shot', '1/8 Shot']","question Generate a cocktail with Gin Grand Marnier Lemon Juice Grenadine answer Pour all ingredients into a cocktail shaker, mix and serve over ice into a chilled glass."
1,1,ABC,"['Amaretto', 'Baileys irish cream', 'Cognac']",Alcoholic,Shot,Shot glass,Layered in a shot glass.,https://www.thecocktaildb.com/images/media/drink/tqpvqp1472668328.jpg,"['1/3 ', '1/3 ', '1/3 ']",question Generate a cocktail with Amaretto Baileys irish cream Cognac answer Layered in a shot glass.
2,2,Ace,"['Gin', 'Grenadine', 'Heavy cream', 'Milk', 'Egg White']",Alcoholic,Cocktail,Martini Glass,Shake all the ingredients in a cocktail shaker and ice then strain in a cold glass.,https://www.thecocktaildb.com/images/media/drink/l3cd7f1504818306.jpg,"['2 shots ', '1/2 shot ', '1/2 shot ', '1/2 shot', '1/2 Fresh']",question Generate a cocktail with Gin Grenadine Heavy cream Milk Egg White answer Shake all the ingredients in a cocktail shaker and ice then strain in a cold glass.
3,3,ACID,"['151 proof rum', 'Wild Turkey']",Alcoholic,Shot,Shot glass,Poor in the 151 first followed by the 101 served with a Coke or Dr Pepper chaser.,https://www.thecocktaildb.com/images/media/drink/xuxpxt1479209317.jpg,"['1 oz Bacardi ', '1 oz ']",question Generate a cocktail with 151 proof rum Wild Turkey answer Poor in the 151 first followed by the 101 served with a Coke or Dr Pepper chaser.
4,4,Adam,"['Dark rum', 'Lemon juice', 'Grenadine']",Alcoholic,Ordinary Drink,Cocktail glass,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",https://www.thecocktaildb.com/images/media/drink/v0at4i1582478473.jpg,"['2 oz ', '1 oz ', '1 tsp ']","question Generate a cocktail with Dark rum Lemon juice Grenadine answer In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass."
5,5,AT&T,"['Absolut Vodka', 'Gin', 'Tonic water']",Alcoholic,Ordinary Drink,Highball Glass,"Pour Vodka and Gin over ice, add Tonic and Stir",https://www.thecocktaildb.com/images/media/drink/rhhwmp1493067619.jpg,"['1 oz ', '1 oz ', '4 oz ']","question Generate a cocktail with Absolut Vodka Gin Tonic water answer Pour Vodka and Gin over ice, add Tonic and Stir"
6,6,A. J.,"['Applejack', 'Grapefruit juice']",Alcoholic,Ordinary Drink,Cocktail glass,"Shake ingredients with ice, strain into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/l74qo91582480316.jpg,"['1 1/2 oz ', '1 oz ']","question Generate a cocktail with Applejack Grapefruit juice answer Shake ingredients with ice, strain into a cocktail glass, and serve."
7,7,Avalon,"['Vodka', 'Pisang Ambon', 'Apple juice', 'Lemon juice', 'Lemonade']",Alcoholic,Ordinary Drink,Highball glass,"Fill a tall glass with ice. Layer the Finlandia Vodka, lemon and apple juices, Pisang Ambon, and top up with lemonade. Stir slightly and garnish with a spiralled cucumber skin and a red cherry. The cucumber provides zest and looks attractive. This drink, created by Timo Haimi, took first prize in the 1991 Finlandia Vodka Long Drink Competition.",https://www.thecocktaildb.com/images/media/drink/3k9qic1493068931.jpg,"['3 parts', '1 part ', '6 parts ', '1 1/2 part ', None]","question Generate a cocktail with Vodka Pisang Ambon Apple juice Lemon juice Lemonade answer Fill a tall glass with ice. Layer the Finlandia Vodka, lemon and apple juices, Pisang Ambon, and top up with lemonade. Stir slightly and garnish with a spiralled cucumber skin and a red cherry. The cucumber provides zest and looks attractive. This drink, created by Timo Haimi, took first prize in the 1991 Finlandia Vodka Long Drink Competition."
8,8,Apello,"['Orange juice', 'Grapefruit juice', 'Apple juice', 'Maraschino cherry']",Non alcoholic,Other / Unknown,Collins Glass,Stirr. Grnish with maraschino cherry.,https://www.thecocktaildb.com/images/media/drink/uptxtv1468876415.jpg,"['4 cl ', '3 cl ', '1 cl ', '1 ']",question Generate a cocktail with Orange juice Grapefruit juice Apple juice Maraschino cherry answer Stirr. Grnish with maraschino cherry.
9,9,Affair,"['Strawberry schnapps', 'Orange juice', 'Cranberry juice', 'Club soda']",Alcoholic,Ordinary Drink,Highball glass,"Pour schnapps, orange juice, and cranberry juice over ice in a highball glass. Top with club soda and serve.",https://www.thecocktaildb.com/images/media/drink/h5za6y1582477994.jpg,"['2 oz ', '2 oz ', '2 oz ', None]","question Generate a cocktail with Strawberry schnapps Orange juice Cranberry juice Club soda answer Pour schnapps, orange juice, and cranberry juice over ice in a highball glass. Top with club soda and serve."
10,10,Abilene,"['Dark rum', 'Peach nectar', 'Orange juice']",Alcoholic,Ordinary Drink,Highball glass,Pour all of the ingredients into a highball glass almost filled with ice cubes. Stir well.,https://www.thecocktaildb.com/images/media/drink/smb2oe1582479072.jpg,"['1 1/2 oz ', '2 oz ', '3 oz ']",question Generate a cocktail with Dark rum Peach nectar Orange juice answer Pour all of the ingredients into a highball glass almost filled with ice cubes. Stir well.
11,11,Almeria,"['Dark rum', 'Kahlua', 'Egg white']",Alcoholic,Ordinary Drink,Cocktail glass,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",https://www.thecocktaildb.com/images/media/drink/rwsyyu1483388181.jpg,"['2 oz ', '1 oz ', '1 ']","question Generate a cocktail with Dark rum Kahlua Egg white answer In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass."
12,12,Addison,"['Gin', 'Vermouth']",Alcoholic,Cocktail,Martini Glass,Shake together all the ingredients and strain into a cold glass.,https://www.thecocktaildb.com/images/media/drink/yzva7x1504820300.jpg,"['1 1/2 shot ', '1 1/2 shot ']",question Generate a cocktail with Gin Vermouth answer Shake together all the ingredients and strain into a cold glass.
13,13,Applecar,"['Applejack', 'Triple sec', 'Lemon juice']",Alcoholic,Ordinary Drink,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/sbffau1504389764.jpg,"['1 oz ', '1 oz ', '1 oz ']","question Generate a cocktail with Applejack Triple sec Lemon juice answer Shake all ingredients with ice, strain into a cocktail glass, and serve."
14,14,Acapulco,"['Light rum', 'Triple sec', 'Lime juice', 'Sugar', 'Egg white', 'Mint']",Alcoholic,Ordinary Drink,Old-fashioned glass,Combine and shake all ingredients (except mint) with ice and strain into an old-fashioned glass over ice cubes. Add the sprig of mint and serve.,https://www.thecocktaildb.com/images/media/drink/il9e0r1582478841.jpg,"['1 1/2 oz ', '1 1/2 tsp ', '1 tblsp ', '1 tsp ', '1 ', '1 ']",question Generate a cocktail with Light rum Triple sec Lime juice Sugar Egg white Mint answer Combine and shake all ingredients (except mint) with ice and strain into an old-fashioned glass over ice cubes. Add the sprig of mint and serve.
